"key_currency","code","currency_name"
0,"",""
8,ALL,Лек
12,DZD,Алжирский динар
32,ARS,Аргентинский песо
36,AUD,Австралийский доллар
44,BSD,Доллар
48,BHD,Динар
50,BDT,Така
51,AMD,Драхм
52,BBD,Барбадосский доллар
60,BMD,Бермудский доллар
64,BTN,Нгултрум
68,BOB,Боливиано
72,BWP,Пула
84,BZD,Доллар
90,SBD,Соломонский доллар
96,BND,Брунейский доллар
104,MMK,Кьят
108,BIF,Бурундийский Франк
116,KHR,Риель
124,CAD,Канадский доллар
132,CVE,Эскудо
136,KYD,Доллар
144,LKR,Рупия
152,CLP,Чилийский песо
156,CNY,Китайский юань
170,COP,Колумбийский песо
174,KMF,Коморский франк
188,CRC,Колон
191,HRK,Куна
192,CUP,Песо
203,CZK,Чешская крона
208,DKK,Датская крона
214,DOP,Доминиканский песо
222,SVC,Сальвадорский колон
230,ETB,Бирр
232,ERN,Накфа
238,FKP,Фунт
242,FJD,Фиджийский доллар
262,DJF,Джибутский Франк
270,GMD,Даласи
292,GIP,Гибралтарский фунт
320,GTQ,Кетсаль
324,GNF,Гвинейский франк
328,GYD,Гайнаский доллар
332,HTG,Гурд
340,HNL,Лемпира
344,HKD,Гонконгский доллар
348,HUF,Форинт
352,ISK,Исландская крона
356,INR,Индийская рупия
360,IDR,Рупия
364,IRR,Иранский риал
368,IQD,Иракский динар
376,ILS,Новый израильский шекель
388,JMD,Доллар
392,JPY,Йена
398,KZT,Тенге
400,JOD,Иорданский динар
404,KES,Кенийский шиллинг
408,KPW,Северо-корейский вон
410,KRW,Вон
414,KWD,Кувейтский динар
417,KGS,Сом
418,LAK,Кип
422,LBP,Ливанский фунт
426,LSL,Лоти
430,LRD,Либерийский доллар
434,LYD,Ливийский динар
446,MOP,Патака
454,MWK,Квача
458,MYR,Малайзийский рингит
462,MVR,Руфия
478,MRO,Угия
480,MUR,Маврикийская рупия
484,MXN,Мексиканский песо
496,MNT,Тугрик
498,MDL,Лей
504,MAD,Марокканский дирхам
512,OMR,Оманский риал
516,NAD,Намибийский доллар
524,NPR,Непальская рупия
532,ANG,Нидерландский антильский гульден
533,AWG,Флорин
548,VUV,Вату
554,NZD,Новозеландский доллар
558,NIO,Кордоба
566,NGN,Наира
578,NOK,Норвежская крона
586,PKR,Пакистанская рупия
590,PAB,Бальбоа
598,PGK,Кина
600,PYG,Гуарани
604,PEN,Новый соль
608,PHP,Филиппинский песо
634,QAR,Катарский риал
643,RUB,Российский рубль
646,RWF,Франк
654,SHP,Фунт Святой Елены
678,STD,Добра
682,SAR,Риял
690,SCR,Рупия
694,SLL,Леоне
702,SGD,Сингапурский доллар
704,VND,Донг
706,SOS,Сомалийский шиллинг
710,ZAR,Ранд
728,SSP,Южно-суданский фунт
748,SZL,Лилангени
752,SEK,Шведская крона
756,CHF,Швейцарский франк
760,SYP,Сирийский фунт
764,THB,Бат
776,TOP,Паанга
780,TTD,Доллар
784,AED,Дирхам
788,TND,Тунисский динар
800,UGX,Угандийский шиллинг
807,MKD,Денар
818,EGP,Египетский фунт
826,GBP,Фунт Стерлингов
834,TZS,Танзанийский шиллинг
840,USD,Доллар США
858,UYU,Песо
860,UZS,Узбекский сум
882,WST,Тала
886,YER,Риал
901,TWD,Новый тайваньский доллар
931,CUC,Конвертируемый песо
932,ZWL,Зимбабвийский доллар
934,TMT,Новый туркменский манат
936,GHS,Седи
937,VEF,Боливар
938,SDG,Суданский фунт
940,UYI,Песо (URUIURUI)
941,RSD,Сербиский динар
943,MZN,Мозамбикский метикал
944,AZN,Манат
946,RON,Лей
947,CHE,WIR Евро
948,CHW,WIR Франк
949,TRY,Турецкая лира
950,XAF,Франк (франк КФА BEAC)
951,XCD,Восточно-карибский доллар
952,XOF,Франк (франк КФА BCEAO)
953,XPF,КФП Франк
960,XDR,Специальные права заимствования
965,XUA,Условная единица ADB
967,ZMW,Замбийская квача
968,SRD,Суринамский доллар
969,MGA,Малагасийский ариари
970,COU,Унидад де валор реаль
971,AFN,Афгани
972,TJS,Сомони
973,AOA,Кванза
974,BYR,Беларусский рубль
975,BGN,Болгарский лев
976,CDF,Конголезский франк
977,BAM,Конвертируемая марка
978,EUR,Евро
979,MXV,Мексиканский UDI
980,UAH,Гривна
981,GEL,Лари
984,BOV,Мвдол
985,PLN,Слотый
986,BRL,Бразильский реал
990,CLF,Унидад де Фоменто
994,XSU,Сукре
997,USN,Доллар США (на след. день)
